Study,effectsizeID,Author,Date,cohen.d,hedge,hedgeg.correction,Vd,Sampling.variance,SE,Frequency,Hemisphere,Control.comparison,Cortical.region,Memorystage,Retrieval,Simulation.timing,Intensity,MTI,notes
31,182,Rossi ,2011,-0.283333333,-0.274385965,0.968421053,0.15539,0.145730497,0.38174664,twenty,R,v,PFC,enc,fam,on,below,90,RDLPFC vs vertex 500 d'
32,183,Rossi ,2001,-0.55483871,-0.537317487,0.968421053,0.159766,0.149834766,0.38708496,twenty,R,s,PFC,enc,fam,on,below,90,righ t enc vs sham
32,184,Rossi ,2001,-0.515337423,-0.49906361,0.968421053,0.158953,0.149072352,0.386098889,twenty,R,b,PFC,enc,fam,on,below,90,r enc vs baseline
32,185,Rossi ,2001,-1.227272727,-1.188516746,0.968421053,0.182812,0.171447449,0.414062132,twenty,L,s,PFC,enc,fam,on,below,90,L enc vs sham
32,186,Rossi ,2001,-1.163043478,-1.126315789,0.968421053,0.179859,0.168678517,0.410704902,twenty,L,b,PFC,enc,fam,on,below,90,L enc vs baseline
32,187,Rossi ,2001,-1.708609272,-1.654653189,0.968421053,0.209987,0.196934031,0.443772499,twenty,R,s,PFC,ret,fam,on,below,90,right ret vs sham
32,188,Rossi ,2001,-1.610062893,-1.559218802,0.968421053,0.203698,0.191035699,0.437076308,twenty,R,b,PFC,ret,fam,on,below,90,right ret vs baseline
32,189,Rossi ,2001,-0.617283951,-0.597790773,0.968421053,0.161174,0.151154835,0.388786361,twenty,L,s,PFC,ret,fam,on,below,90,left ret vs sham
32,190,Rossi ,2001,-0.576470588,-0.558266254,0.968421053,0.160237,0.150276133,0.387654657,twenty,L,b,PFC,ret,fam,on,below,90,left ret vs baseline
33,191,Rossi ,2004,-0.604651163,-0.594738849,0.983606557,0.087142,0.084308602,0.290359437,twenty,R,s,PFC,enc,fam,on,below,90,right enc vs sham
33,192,Rossi ,2004,-0.046511628,-0.045749142,0.983606557,0.083356,0.080645855,0.283982138,twenty,R,b,PFC,enc,fam,on,below,90,right enc vs baseline
33,193,Rossi ,2004,-1.227272727,-1.207153502,0.983606557,0.099023,0.09580353,0.309521453,twenty,L,s,PFC,enc,fam,on,below,90,left enc vs sham
33,194,Rossi ,2004,-0.681818182,-0.670640835,0.983606557,0.088176,0.085309076,0.292077175,twenty,L,b,PFC,enc,fam,on,below,90,left enc vs baseline
33,195,Rossi ,2004,-1.488372093,-1.463972551,0.983606557,0.106409,0.102949372,0.320857245,twenty,R,s,PFC,ret,fam,on,below,90,right ret vs sham
33,196,Rossi ,2004,-0.930232558,-0.914982844,0.983606557,0.092347,0.08934488,0.29890614,twenty,R,b,PFC,ret,fam,on,below,90,right ret vs baseline
33,197,Rossi ,2004,-0.612244898,-0.602208096,0.983606557,0.087238,0.084401731,0.29051976,twenty,L,s,PFC,ret,fam,on,below,90,left ret vs sham
33,198,Rossi ,2004,-0.12244898,-0.120441619,0.983606557,0.08349,0.08077516,0.284209711,twenty,L,b,PFC,ret,fam,on,below,90,left ret vs sbaseline
34,199,Rossi ,2006,-0.454545455,-0.435339309,0.957746479,0.205165,0.188195055,0.43381454,twenty,R,s,PC,enc,fam,on,below,90,right enc vs sham
34,200,Rossi ,2006,-0.264150943,-0.252989636,0.957746479,0.201744,0.185057118,0.430182657,twenty,R,b,PC,enc,fam,on,below,90,right enc vs base
34,201,Rossi ,2006,-0.347826087,-0.33312921,0.957746479,0.203025,0.18623141,0.431545374,twenty,L,s,PC,enc,fam,on,below,90,left enc vs sham
34,202,Rossi ,2006,-0.181818182,-0.174135723,0.957746479,0.200826,0.184215099,0.429202865,twenty,L,b,PC,enc,fam,on,below,90,left enc vs baseline
34,203,Rossi ,2006,-0.204081633,-0.195458465,0.957746479,0.201041,0.18441212,0.429432323,twenty,R,s,PC,ret,fam,on,below,90,right ret vs sham
34,204,Rossi ,2006,-0.068965517,-0.066051481,0.957746479,0.200119,0.183566083,0.428446126,twenty,R,b,PC,ret,fam,on,below,90,right ret vs baseline
34,205,Rossi ,2006,-0.367346939,-0.351825237,0.957746479,0.203374,0.18655156,0.43191615,twenty,L,s,PC,ret,fam,on,below,90,left ret vs sham
34,206,Rossi ,2006,-0.206896552,-0.198154444,0.957746479,0.20107,0.184438649,0.429463211,twenty,L,b,PC,ret,fam,on,below,90,left ret vs baseline
34,207,Rossi ,2006,-0.697674419,-0.668195218,0.957746479,0.212169,0.194619216,0.441156679,twenty,R,s,PC,enc,fam,on,above,120,right enc vs sham
34,208,Rossi ,2006,-0.952380952,-0.912139504,0.957746479,0.222676,0.204257127,0.451948147,twenty,R,b,PC,enc,fam,on,above,120,right enc vs base
34,209,Rossi ,2006,-0.808510638,-0.774348217,0.957746479,0.216342,0.198447502,0.445474468,twenty,L,s,PC,enc,fam,on,above,120,left enc vs sham
34,210,Rossi ,2006,-1.043478261,-0.99938763,0.957746479,0.227221,0.208426587,0.456537607,twenty,L,b,PC,enc,fam,on,above,120,left enc vs baseline
34,211,Rossi ,2006,-0.203389831,-0.194795894,0.957746479,0.201034,0.184405656,0.429424796,twenty,R,s,PC,ret,fam,on,above,120,right ret vs sham
34,212,Rossi ,2006,-0.379310345,-0.363283147,0.957746479,0.203597,0.186756403,0.432153217,twenty,R,b,PC,ret,fam,on,above,120,right ret vs baseline
34,213,Rossi ,2006,-0.588235294,-0.563380282,0.957746479,0.210467,0.191392004,0.437483719,twenty,L,s,PC,ret,fam,on,above,120,left ret vs sham
34,214,Rossi ,2006,-0.909090909,-0.870678617,0.957746479,0.223508,0.202409183,0.449899081,twenty,L,b,PC,ret,fam,on,above,120,left ret vs baseline
35,215,Kholer ,2004,0.496,0.478896552,0.965517241,0.171794,0.160149462,0.400186784,,L,b,PFC,enc,fam,on,at,100,left pfc stim vs no stim
35,216,Kholer ,2004,0.367170626,0.35450957,0.965517241,0.169466,0.157989765,0.397479264,,L,a,PFC,enc,fam,on,at,100,left pfc stim vs right ipfc stim
35,217,Kholer ,2004,0.307254623,0.296659636,0.965517241,0.168579,0.157204967,0.396490816,,L,a,PFC,enc,fam,on,at,100,left pfc stim vs left PC stim
35,218,Kholer ,2004,-0.373312153,-0.36043932,0.965517241,0.169525,0.158078088,0.397590352,,R,b,PFC,enc,fam,on,at,100,right PFC stim vs no stim
35,219,Kholer ,2004,-0.115350488,-0.111372885,0.965517241,0.166931,0.155629895,0.39449955,,R,a,PFC,enc,fam,on,at,100,right PFC stim vs LPC stim
35,220,Kholer ,2004,-0.19895288,-0.192092436,0.965517241,0.167511,0.156140223,0.395145824,,L,b,PC,enc,fam,on,at,100,left PC vs no stim
36,221,Bonnici ,2018,0.076981132,0.075598237,0.982035928,0.090974,0.087737905,0.296205849,ctbs,L,v,PC,ret,rec,off,below,70,"left ang vs vert free recall ""words recalled"""
36,222,Bonnici ,2018,-0.029191768,-0.028667365,0.982035928,0.090916,0.087682299,0.296111971,ctbs,L,v,PC,ret,rec,off,below,70,"left ang vs vert cued recall ""words recalled"" "
36,223,Bonnici ,2018,-0.543151448,-0.533394236,0.982035928,0.09425,0.090906048,0.301506299,ctbs,L,v,PC,ret,rec,off,below,70,"left ang vs vert free recall internal ""details recalled"""
36,224,Bonnici ,2018,0.036262204,0.035610787,0.982035928,0.090923,0.087687371,0.296120534,ctbs,L,v,PC,ret,rec,off,below,70,left ang vs vert free recall external details
36,225,Bonnici ,2018,-0.082786542,-0.081299359,0.982035928,0.090993,0.08774807,0.296223007,ctbs,L,v,PC,ret,rec,off,below,70,"left ang vs vert cued recall internal details ""details recalled"""
36,226,Bonnici ,2018,0.336594912,0.330548297,0.982035928,0.092207,0.088914586,0.298185489,ctbs,L,v,PC,ret,rec,off,below,70,left ang vs vert cued recall external details
37,227,Turriziani ,2012,-0.962305987,-0.943187325,0.98013245,0.11152,0.107185455,0.327391899,one,L,s,PFC,ret,fam,off,below,90,left pfc vs sham recognition exp 1 non verbal
37,228,Turriziani ,2012,3.402805611,3.335200202,0.98013245,0.245038,0.235109291,0.484880698,one,R,s,PFC,ret,fam,off,below,90,right pfc vs sham recognition exp 1
38,229,Turriziani ,2012,-0.64344942,-0.630665656,0.98013245,0.105171,0.101037197,0.317863487,one,L,s,PFC,ret,fam,off,below,90,left pfc vs sham recognition exp 2
38,230,Turriziani ,2012,4.106918239,4.025323837,0.98013245,0.309933,0.298604869,0.546447499,one,R,s,PFC,ret,fam,off,below,90,right pfc vs sham recgon exp 2
39,231,Turriziani ,2012,-4.30669,-4.306620828,0.957746479,0.663689,0.608792436,0.780251521,itbs,R,a,PFC,ret,fam,off,below,80,left vs right iTBS stim exp 3
39,232,Turriziani ,2012,0.316037736,0.302684029,0.957746479,0.202477,0.18574747,0.430984304,itbs,L,s,PFC,ret,fam,off,below,80,left vs sham itbs exp 3
39,233,Turriziani ,2012,-4.878873239,-4.672723666,0.957746479,0.797178,0.729319688,0.854002159,itbs,R,s,PFC,ret,fam,off,below,80,right dlpfc vs sham exp 3
40,234,Marin ,2018,-0.111111111,-0.107874865,0.970873786,0.143078,0.13486331,0.367237403,ctbs,R,s,PFC,enc,rec,off,below,80,right dlpfc vs baseline associative memory (active)
40,235,Marin ,2018,0.303030303,0.294204178,0.970873786,0.144497,0.136201141,0.369054387,ctbs,R,s,PFC,enc,rec,off,below,80,right dlpfc vs baseline associative memory passive
40,236,Marin ,2018,-0.088888889,-0.086299892,0.970873786,0.142998,0.134788501,0.367135535,ctbs,R,s,PFC,enc,rec,off,below,80,right dlpfc vs baseline recall active
40,237,Marin ,2018,-0.136363636,-0.13239188,0.970873786,0.173886,0.134968499,0.367380591,ctbs,R,s,PFC,enc,rec,off,below,80,right dlpfc vs baseline recall passive
40,238,Marin ,2018,-1.047486,-1.038542543,0.970873786,0.151882,0.153123964,0.391310573,ctbs,R,s,PFC,enc,rec,off,below,80,"right dlpfc vs sham assocaitive memory (active; stim post-pre vs post-pre sham), error bars = SEM"
40,239,Marin ,2018,-0.147275,-0.05808155,0.970873786,0.144406,0.135020592,0.367451482,ctbs,R,s,PFC,enc,rec,off,below,80,right dlpfc vs sham associative memory passive stim post-pre vs post-pre sham
40,240,Marin ,2018,-0.772337203,-0.766572608,0.970873786,0.151776,0.14469584,0.380389063,ctbs,R,s,PFC,enc,rec,off,below,80,right dlpfc vs sham recall active stim post-pre vs post-pre sham
40,241,Marin ,2018,-0.371229698,-0.398014876,0.970873786,0.145318,0.136975143,0.37010153,ctbs,R,s,PFC,enc,rec,off,below,80,right dlpfc vs sham recall passive stim post-pre vs post-pre sham
41,242,Koen ,2018,0,0,0.98013245,0.145318,0.094258856,0.307016051,ten,L,v,PC,enc,rec,on,below,90,Recollection AG vs vert
41,243,Koen ,2018,-0.099378882,-0.097404467,0.98013245,0.145318,0.09437522,0.307205502,ten,L,v,PC,enc,fam,on,below,90,Familiarity AG vs vert
42,244,Martin-Trias ,2018,-1.445702538,-1.418425132,0.981132076,0.145318,0.113223466,0.336486948,twenty,L,v,PFC,enc,fam,on,below,90,Figure 3 Day 2 L-DLPFC vs Vertex
42,245,Martin-Trias ,2018,-0.24101665,-0.236469166,0.981132076,0.145318,0.090422173,0.300702798,twenty,L,v,PFC,enc,fam,on,below,90,Figure 3 Day 3 L-DLPFC vs Vertex
